divergence,accuracy,cross_entropy,information_loss,shannon_entropy,renyi_entropy,tsallis_entropy
kl,0.9806,0.09538044331068854,14.798010053513925,3.5960726737976074,3.409822940826416,0.966952919960022
renyi,0.9785,0.09632625625000643,12.315547749966006,3.7961971759796143,3.621400833129883,0.9732547998428345
tsallis,0.9613,0.1822064532957311,3.7442354522173917,3.76179838180542,3.6129133701324463,0.9730268716812134
