divergence,accuracy,cross_entropy,information_loss,shannon_entropy,renyi_entropy,tsallis_entropy,I_XZ,H_Y,H_Y_given_Z,I_ZY,IB_objective
kl,0.9806,0.09538044331068854,14.798010053513925,3.5960726737976074,3.409822940826416,0.966952919960022,14.798945426940918,2.3008484840393066,0.02158181741833687,2.2792666666209698,14.796666160274297
renyi,0.9807,0.09792270879222974,14.78609042831614,3.297093152999878,3.074908971786499,0.9538061618804932,23.697053909301758,2.3008484840393066,0.023727573454380035,2.2771209105849266,23.694776788391174
tsallis,0.9807,0.09023021616009988,2.0,3.6927292346954346,3.5078682899475098,0.9700393080711365,373.97119140625,2.3008484840393066,0.0199484433978796,2.280900040641427,373.96891050620934
